exp_id,timestamp,name,description,use_smote,learning_rate,max_depth,mean_accuracy,std_accuracy,mean_f1,std_f1,mean_precision,std_precision,mean_recall,std_recall,full_train_accuracy,full_train_f1,full_train_precision,full_train_recall,full_train_metric_scope,model_type
exp_006_exp1_p99_method0_baseline,2026-03-25 18:38:50,exp1_p99_method0_baseline,Exp 1-0: 1%-99% Percentile + 全局 Median 補值 (Baseline),False,0.05,6,0.8961064425770309,0.04146362268939,0.9314894225367508,0.0277789094950771,0.9149353506543508,0.0240500414698097,0.9495039682539682,0.042758281772259,1.0,1.0,1.0,1.0,train_set_only_no_validation,catboost
exp_007_exp1_p99_method0_baseline,2026-03-25 18:44:29,exp1_p99_method0_baseline,Exp 1-0: 1%-99% Percentile + 全局 Median 補值 (Baseline),False,,10,0.8582913165266106,0.0473217279318096,0.9006275616475173,0.0335747947027926,0.9443859649122808,0.030263030765052,0.8609623015873016,0.0383107382305432,0.933806146572104,0.9536423841059604,1.0,0.9113924050632912,train_set_only_no_validation,random_forest
exp_008_exp1_p99_method0_baseline,2026-03-25 18:59:19,exp1_p99_method0_baseline,Exp 1-0: 1%-99% Percentile + 全局 Median 補值 (Baseline),False,0.05,8,0.8960784313725491,0.0387543897110129,0.9305962484843604,0.0260691496767219,0.9260133259200238,0.0278981061298385,0.9368055555555556,0.0458024014362158,1.0,1.0,1.0,1.0,train_set_only_no_validation,catboost
exp_009_exp1_optimal,2026-03-25 19:23:04,exp1_optimal,"✅ Experiment 1 最優配置：1%-99% Percentile + 全局 Median 補值 (Baseline) - F1=0.9238, Accuracy=0.8866",False,,12,0.8699999999999999,0.0357105397057792,0.9130816550291418,0.0238790929018567,0.9120484669359544,0.0241468479294511,0.9146329365079364,0.0324210538431484,0.9550827423167848,0.9692058346839546,0.9933554817275748,0.9462025316455696,train_set_only_no_validation,random_forest
exp_010_exp1_optimal,2026-03-25 19:26:39,exp1_optimal,"✅ Experiment 1 最優配置：1%-99% Percentile + 全局 Median 補值 (Baseline) - F1=0.9238, Accuracy=0.8866",False,,12,0.862857142857143,0.0193320743709238,0.91272069611939,0.0115816539457928,0.8714774688687733,0.0213813300720215,0.9589285714285714,0.0235735662544113,0.9243498817966904,0.9510703363914372,0.9201183431952664,0.9841772151898734,train_set_only_no_validation,random_forest
exp_002_exp2_method0_base_features,2026-03-25 20:49:22,exp2_method0_base_features,Exp 2-1: 對照組 - Exp1最優設定(Median補值) + 全部基礎特徵，無衍生特徵,False,0.05,6,0.8866106442577031,0.0402927910605323,0.9238426428587828,0.0273780004671464,0.924921630094044,0.0284758850378758,0.9241071428571428,0.0440927303673996,1.0,1.0,1.0,1.0,train_set_only_no_validation,catboost
exp_003_exp2_method0_with_ratio,2026-03-25 20:49:34,exp2_method0_with_ratio,Exp 2-2: 全部基礎特徵 + weight/height ratio 衍生特徵 (Median補值),False,0.05,6,0.8889635854341738,0.0382037710831729,0.9259311397201208,0.025519470982499,0.9218396952069612,0.0228364253565672,0.9304563492063492,0.0339749520543441,1.0,1.0,1.0,1.0,train_set_only_no_validation,catboost
exp_004_exp2_method0_with_bmi,2026-03-25 20:49:55,exp2_method0_with_bmi,Exp 2-3: 全部基礎特徵 + BMI 衍生特徵 (Median補值),False,0.05,6,0.8914005602240896,0.0386911295684846,0.9275988227826188,0.0259322363562194,0.9222553402881272,0.0245798751099557,0.9336309523809524,0.0365214131440694,1.0,1.0,1.0,1.0,train_set_only_no_validation,catboost
exp_001_exp2_method0_with_pi,2026-03-26 14:28:20,exp2_method0_with_pi,Exp 2-4: 全部基礎特徵 + Ponderal Index 衍生特徵 (Median補值),False,0.05,6,0.8866106442577031,0.0343405942937645,0.9246775178226792,0.0230788461910225,0.9163557319172686,0.0197319811921119,0.9336309523809524,0.0336489451798388,1.0,1.0,1.0,1.0,train_set_only_no_validation,catboost
exp_001_exp3_minilm,2026-03-26 18:27:53,exp3_minilm,Exp 3-1:基於Exp2最優設定(Median補值)並加入minilm對自述做處理，其他設定同Exp2,False,0.05,6,0.8629971988795517,0.0270194748433111,0.9098009263084486,0.0184068835867866,0.8935275133639464,0.014541460952833,0.9272817460317458,0.0324870121537787,1.0,1.0,1.0,1.0,train_set_only_no_validation,catboost
exp_001_exp3_minilm,2026-03-26 18:35:30,exp3_minilm,Exp 3-1:基於Exp2最優設定(Median補值)並加入minilm對自述做處理，其他設定同Exp2,False,0.05,6,0.8629971988795517,0.0270194748433111,0.9098009263084486,0.0184068835867866,0.8935275133639464,0.014541460952833,0.9272817460317458,0.0324870121537787,1.0,1.0,1.0,1.0,train_set_only_no_validation,catboost
exp_002_exp3_tfidf,2026-03-26 18:37:55,exp3_tfidf,Exp 3-2: 基於Exp2最優設定(Median補值+BMI) 並使用 TF-IDF 處理 self_intro,False,0.05,6,0.8700560224089637,0.0294581999720075,0.9125916596977112,0.0210128147893567,0.9144946597928328,0.0146318888229876,0.9114583333333331,0.0368194578629868,0.9976359338061466,0.9984152139461172,1.0,0.9968354430379748,train_set_only_no_validation,catboost
exp_003_exp3_both,2026-03-26 18:38:22,exp3_both,Exp 3-3: 基於Exp2最優設定(Median補值+BMI) 並同時使用 TF-IDF + MiniLM 處理 self_intro,False,0.05,6,0.8677310924369748,0.0234816107755393,0.9129177072927072,0.0162294307482896,0.8964201016374929,0.0102858646325125,0.9304563492063492,0.0291882546173793,1.0,1.0,1.0,1.0,train_set_only_no_validation,catboost
exp_004_exp3_minilm_pca30,2026-03-26 19:05:45,exp3_minilm_pca30,Exp 3-4: MiniLM + PCA降維至30維，減少維度災難,False,0.05,6,0.8748179271708685,0.0260263736490644,0.9173037532916842,0.0173268188909065,0.9052817770464828,0.0218168043924356,0.9304563492063492,0.0291882546173794,1.0,1.0,1.0,1.0,train_set_only_no_validation,catboost
exp_005_exp3_both_pca30,2026-03-26 19:07:07,exp3_both_pca30,Exp 3-5: TF-IDF + MiniLM + PCA降維至30維,False,0.05,6,0.8723809523809523,0.0260337587150456,0.9158049961842186,0.0174877024274524,0.9024809002472935,0.0200635195686917,0.9305059523809524,0.0337769574972752,1.0,1.0,1.0,1.0,train_set_only_no_validation,catboost
exp_007_exp3_minilm_exp1base,2026-03-26 19:29:34,exp3_minilm_exp1base,Exp 3-6: MiniLM 文本嵌入，其他設定同 Exp1 Baseline (depth=8),False,0.05,8,0.8700280112044819,0.0178736947511198,0.9153444546335768,0.0110313937936669,0.8924770398683443,0.0190487620468849,0.9399305555555556,0.0182607065720347,1.0,1.0,1.0,1.0,train_set_only_no_validation,catboost
exp_008_exp3_tfidf_exp1base,2026-03-26 19:32:38,exp3_tfidf_exp1base,Exp 3-7: TF-IDF 文本嵌入，其他設定同 Exp1 Baseline (depth=8),False,0.05,8,0.8913445378151261,0.0269872219316558,0.927368826309667,0.0182541755566153,0.9251706810607768,0.0207599559136599,0.9304563492063492,0.0324579160442099,1.0,1.0,1.0,1.0,train_set_only_no_validation,catboost
exp_009_exp3_both_exp1base,2026-03-26 19:34:11,exp3_both_exp1base,Exp 3-8: TF-IDF + MiniLM 文本嵌入，其他設定同 Exp1 Baseline (depth=8),False,0.05,8,0.8724089635854343,0.0248650525385904,0.9162485352960528,0.016956837809861,0.8975078787751738,0.0166772556658922,0.9367559523809524,0.0346661962963757,1.0,1.0,1.0,1.0,train_set_only_no_validation,catboost
exp_010_exp3_minilm_pca30_exp1base,2026-03-26 19:37:57,exp3_minilm_pca30_exp1base,Exp 3-9: MiniLM + PCA降維至30維，其他設定同 Exp1 Baseline (depth=8),False,0.05,8,0.8747619047619046,0.0282477963517316,0.9176992200860764,0.0190875305978226,0.900179649707552,0.0187884547033063,0.9368551587301588,0.0357430715121645,1.0,1.0,1.0,1.0,train_set_only_no_validation,catboost
exp_011_exp3_both_pca30_exp1base,2026-03-26 19:39:11,exp3_both_pca30_exp1base,Exp 3-10: TF-IDF + MiniLM + PCA降維至30維，其他設定同 Exp1 Baseline (depth=8),False,0.05,8,0.8771148459383753,0.0215780109822168,0.9193806146597494,0.0132949915887483,0.9034194336874256,0.0244488199653055,0.9367559523809524,0.022277293227069,1.0,1.0,1.0,1.0,train_set_only_no_validation,catboost
exp_012_exp3_minilm_pca64,2026-03-26 20:15:34,exp3_minilm_pca64,Exp 3-4: MiniLM + PCA降維至64維，減少維度災難,False,0.05,6,0.8676470588235293,0.0170330235922554,0.9127694730466384,0.0112440517959157,0.8990874987233919,0.0134131360410017,0.927281746031746,0.0212301587301587,1.0,1.0,1.0,1.0,train_set_only_no_validation,catboost
exp_013_exp3_both_pca64,2026-03-26 20:16:26,exp3_both_pca64,Exp 3-5: TF-IDF + MiniLM + PCA降維至64維,False,0.05,6,0.8582072829131653,0.024393980031943,0.9062111410770188,0.0161928578673289,0.8959930165406089,0.0230200911281962,0.9178075396825396,0.032074350127945,1.0,1.0,1.0,1.0,train_set_only_no_validation,catboost
exp_014_exp3_minilm_pca64_exp1base,2026-03-26 20:18:08,exp3_minilm_pca64_exp1base,Exp 3-9: MiniLM + PCA降維至64維，其他設定同 Exp1 Baseline (depth=8),False,0.05,8,0.8652941176470588,0.0155905442228589,0.9114093702734924,0.0096268863701101,0.8968464130958113,0.0203846732018007,0.9272321428571428,0.0214636782525032,1.0,1.0,1.0,1.0,train_set_only_no_validation,catboost
exp_015_exp3_both_pca64_exp1base,2026-03-26 20:19:22,exp3_both_pca64_exp1base,Exp 3-10: TF-IDF + MiniLM + PCA降維至64維，其他設定同 Exp1 Baseline (depth=8),False,0.05,8,0.867703081232493,0.0288455026180329,0.913241165413534,0.0192678200828903,0.8943840367624671,0.0190920447025032,0.9336805555555556,0.0334443128439263,1.0,1.0,1.0,1.0,train_set_only_no_validation,catboost
