timestamp,config_file,experiment_name,experiment_folder,model_type,text_embedding_method,status,return_code,mean_accuracy,mean_f1,mean_precision,mean_recall,std_accuracy,std_f1,std_precision,std_recall,error_message
2026-03-29 11:17:53,configs/exp3_both_exp1base.yaml,exp3_both_exp1base,exp_071_exp3_both_exp1base,catboost,both,success,0,0.8747899159663864,0.918190090232075,0.8977927689154166,0.9399801587301587,0.02712317857010691,0.017368092870508528,0.021847738817502117,0.022886369376775094,
2026-03-29 11:18:34,configs/exp3_both_pca30.yaml,exp3_both_pca30,exp_072_exp3_both_pca30,catboost,both,success,0,0.8747899159663867,0.9176670055402202,0.9000790444400618,0.9367559523809523,0.02008698297281249,0.014235979662593688,0.012513568619176796,0.031625670891458485,
2026-03-29 11:19:14,configs/exp3_both_pca30_exp1base.yaml,exp3_both_pca30_exp1base,exp_073_exp3_both_pca30_exp1base,catboost,both,success,0,0.874733893557423,0.9179087731299317,0.9004693615226295,0.9367559523809523,0.020330346191083978,0.012635874345423919,0.02153438044187368,0.022277293227069058,
2026-03-29 11:20:01,configs/exp3_both_pca64.yaml,exp3_both_pca64,exp_074_exp3_both_pca64,catboost,both,success,0,0.8723809523809525,0.9163113871389743,0.8974877054818077,0.9367559523809523,0.015324817076844617,0.010689088647549777,0.014019419630598735,0.02825988239555913,
2026-03-29 11:20:49,configs/exp3_both_pca64_exp1base.yaml,exp3_both_pca64_exp1base,exp_075_exp3_both_pca64_exp1base,catboost,both,success,0,0.8700280112044817,0.9148107296376423,0.8969612087259147,0.9336805555555555,0.030492483081128684,0.019730934804083392,0.020874149939474965,0.024791466188839862,
2026-03-29 11:22:15,configs/exp3_exp2_with_bmi_both.yaml,exp3_exp2_with_bmi_both,exp_076_exp3_exp2_with_bmi_both,catboost,both,success,0,0.8700560224089637,0.9152714117130281,0.8919769110023719,0.9399305555555555,0.016086920332941245,0.01066461987752654,0.010350410009069366,0.0152536012583241,
2026-03-29 11:23:43,configs/exp3_exp2_with_bmi_minilm.yaml,exp3_exp2_with_bmi_minilm,exp_077_exp3_exp2_with_bmi_minilm,catboost,minilm,success,0,0.8724369747899159,0.9166572014957645,0.8945549299983014,0.9400297619047618,0.032471547058778916,0.02144536715060308,0.016660005338674972,0.028491572982911356,
2026-03-29 11:23:50,configs/exp3_exp2_with_bmi_tfidf.yaml,exp3_exp2_with_bmi_tfidf,exp_078_exp3_exp2_with_bmi_tfidf,catboost,tfidf,success,0,0.8819327731092436,0.9200883442054977,0.9213471024744354,0.9210317460317459,0.046971541038398026,0.0331689816063392,0.02067637736378054,0.06158341503036933,
2026-03-29 11:23:59,configs/exp3_handcrafted15_exp1base.yaml,exp3_handcrafted15_exp1base,exp_079_exp3_handcrafted15_exp1base,catboost,handcrafted,success,0,0.8724369747899159,0.9138488741232929,0.9204947241025339,0.9083333333333332,0.037290204625334264,0.025434992670009295,0.024753719217601573,0.04032027236787474,
2026-03-29 11:24:09,configs/exp3_handcrafted_exp1base.yaml,exp3_handcrafted_exp1base,exp_080_exp3_handcrafted_exp1base,catboost,handcrafted,success,0,0.8724369747899159,0.9138488741232929,0.9204947241025339,0.9083333333333332,0.037290204625334264,0.025434992670009295,0.024753719217601573,0.04032027236787474,
2026-03-29 11:25:53,configs/exp3_handcrafted_exp1base_enablesearch.yaml,exp3_handcrafted_exp1base_enablesearch,exp_081_exp3_handcrafted_exp1base_enablesearch,catboost,handcrafted,success,0,0.8795238095238094,0.9182097112860891,0.9292437952771527,0.9084325396825396,0.041473272437271586,0.02870694647966658,0.025896676508126448,0.04347411937207727,
2026-03-29 11:27:39,configs/exp3_minilm_exp1base.yaml,exp3_minilm_exp1base,exp_082_exp3_minilm_exp1base,catboost,minilm,success,0,0.8653501400560224,0.9118565349379303,0.8913104287017332,0.9336309523809524,0.019943033370781134,0.013682925116884624,0.0102717763908644,0.02296878735901755,
2026-03-29 11:28:18,configs/exp3_minilm_pca30.yaml,exp3_minilm_pca30,exp_083_exp3_minilm_pca30,catboost,minilm,success,0,0.8605602240896358,0.9084411619640083,0.8910040618333772,0.9273313492063492,0.02703401963526693,0.01811155921492301,0.017886649126770904,0.03228477025082651,
2026-03-29 11:28:56,configs/exp3_minilm_pca30_exp1base.yaml,exp3_minilm_pca30_exp1base,exp_084_exp3_minilm_pca30_exp1base,catboost,minilm,success,0,0.8652941176470588,0.911733078251807,0.8939415476728909,0.9304563492063492,0.02155268791501777,0.013522185921995614,0.01740242973991946,0.015724754008789327,
2026-03-29 11:29:40,configs/exp3_minilm_pca64.yaml,exp3_minilm_pca64,exp_085_exp3_minilm_pca64,catboost,minilm,success,0,0.8724089635854341,0.9168947982013844,0.8925233334440497,0.9431051587301587,0.022469805360518985,0.014923035902467423,0.015068704397461276,0.0255808145037001,
2026-03-29 11:30:25,configs/exp3_minilm_pca64_exp1base.yaml,exp3_minilm_pca64_exp1base,exp_086_exp3_minilm_pca64_exp1base,catboost,minilm,success,0,0.8747899159663867,0.9176141727913381,0.9025615387028431,0.9336309523809524,0.02267627677879845,0.01487818284023567,0.018268562068041144,0.02296878735901755,
2026-03-29 11:30:33,configs/exp3_tfidf_exp1base.yaml,exp3_tfidf_exp1base,exp_087_exp3_tfidf_exp1base,catboost,tfidf,success,0,0.8843417366946777,0.9221323064595193,0.9212546017486831,0.9242063492063493,0.04270881124779466,0.029988680354567598,0.0190875511040644,0.050201157463074506,
2026-03-29 11:30:42,configs/exp3_tfidf_handcrafted_exp1base.yaml,exp3_tfidf_handcrafted_exp1base,exp_088_exp3_tfidf_handcrafted_exp1base,catboost,tfidf,success,0,0.865266106442577,0.908800870660112,0.9172981473291071,0.9019841269841269,0.03031674284715801,0.021379748536285038,0.022317492345341205,0.04280567161956128,
