timestamp,config_file,experiment_name,experiment_folder,model_type,imputation_method,status,return_code,mean_accuracy,mean_f1,mean_precision,mean_recall,std_accuracy,std_f1,std_precision,std_recall,error_message
2026-03-29 02:03:35,configs/exp2_CB_method0.yaml,exp2_CB_method0,exp_017_exp2_CB_method0,catboost,method0,success,0,0.8890196078431373,0.9259017821848587,0.9196745281058162,0.9336309523809524,0.0453990338228257,0.030915790691051496,0.029089958105270812,0.04942069609811124,
2026-03-29 02:03:45,configs/exp2_CB_method1.yaml,exp2_CB_method1,exp_018_exp2_CB_method1,catboost,method0,success,0,0.877170868347339,0.9180338893353733,0.9129141920798393,0.9241071428571429,0.03180869303311764,0.021959849866789623,0.018846040454104814,0.03795080506975019,
2026-03-29 02:03:55,configs/exp2_CB_method2.yaml,exp2_CB_method2,exp_019_exp2_CB_method2,catboost,method0,success,0,0.877170868347339,0.9176762601747537,0.9153906388138118,0.9209325396825395,0.03666023572306858,0.025584591998490207,0.019281299595850853,0.042484880152498794,
2026-03-29 02:04:06,configs/exp2_CB_method3.yaml,exp2_CB_method3,exp_020_exp2_CB_method3,catboost,method0,success,0,0.8818767507002802,0.9209941451502427,0.9185638974517165,0.9241071428571429,0.03545731687396143,0.024099903674232266,0.021167762723887824,0.03659894195574744,
2026-03-29 02:04:09,configs/exp2_LGBM_method0.yaml,exp2_LGBM_method0,exp_021_exp2_LGBM_method0,lightgbm,method0,success,0,0.8487675070028011,0.8956745719030919,0.9271320003934326,0.8671130952380952,0.030863008988998974,0.019707923597929118,0.03418612999986558,0.021351501986095322,
2026-03-29 02:04:11,configs/exp2_LGBM_method1.yaml,exp2_LGBM_method1,exp_022_exp2_LGBM_method1,lightgbm,method0,success,0,0.8488515406162465,0.8958379104599643,0.9238595598233813,0.8702876984126984,0.035557948589133484,0.024110434777779962,0.03171563365984772,0.03060720871166915,
2026-03-29 02:04:14,configs/exp2_LGBM_method2.yaml,exp2_LGBM_method2,exp_023_exp2_LGBM_method2,lightgbm,method0,success,0,0.8464425770308124,0.8944546727659723,0.920873098066763,0.8702876984126984,0.03466261775192405,0.022972955897423937,0.0329160053827978,0.02711529307965646,
2026-03-29 02:04:17,configs/exp2_LGBM_method3.yaml,exp2_LGBM_method3,exp_024_exp2_LGBM_method3,lightgbm,method0,success,0,0.8464705882352941,0.8942634237134021,0.9204944760985843,0.8702876984126984,0.03195001745795881,0.022157937510070332,0.025582829013437825,0.032211523998123444,
2026-03-29 02:04:23,configs/exp2_RF_method0.yaml,exp2_RF_method0,exp_025_exp2_RF_method0,random_forest,method0,success,0,0.8510644257703082,0.8981475029036006,0.9217418546365914,0.8765873015873016,0.023041424974743433,0.013716288973608867,0.03168369864289396,0.015491445472970754,
2026-03-29 02:04:29,configs/exp2_RF_method1.yaml,exp2_RF_method1,exp_026_exp2_RF_method1,random_forest,method0,success,0,0.8487394957983193,0.895866982169626,0.9246275252525251,0.8702876984126984,0.03521499735077892,0.02327981333600195,0.03748042383620457,0.03373964035735546,
2026-03-29 02:04:35,configs/exp2_RF_method2.yaml,exp2_RF_method2,exp_027_exp2_RF_method2,random_forest,method0,success,0,0.8582072829131653,0.9030732555391386,0.9248097632436092,0.882986111111111,0.038636945997667115,0.025514138784626807,0.033233460417861405,0.029066105933016687,
2026-03-29 02:04:41,configs/exp2_RF_method3.yaml,exp2_RF_method3,exp_028_exp2_RF_method3,random_forest,method0,success,0,0.8415686274509803,0.8919916593670261,0.9121909139723249,0.8734126984126984,0.027753209639206022,0.017337716196083857,0.03255460196037639,0.01740612079322328,
2026-03-29 02:05:12,configs/exp2_XGB_method0.yaml,exp2_XGB_method0,exp_029_exp2_XGB_method0,xgboost,method0,success,0,0.8746218487394957,0.9147816158770012,0.9325917174193961,0.8986607142857143,0.02977399984911404,0.019302148642037942,0.032121090605247864,0.02600815114635991,
2026-03-29 02:05:58,configs/exp2_XGB_method1.yaml,exp2_XGB_method1,exp_030_exp2_XGB_method1,xgboost,method0,success,0,0.8533893557422969,0.8997157979800342,0.9215009307632258,0.8797123015873016,0.027640885452458096,0.01829716676433605,0.026513774292785678,0.02592780284886114,
2026-03-29 02:06:34,configs/exp2_XGB_method2.yaml,exp2_XGB_method2,exp_031_exp2_XGB_method2,xgboost,method0,success,0,0.8699999999999999,0.9115766102147619,0.9288497182109392,0.8955357142857142,0.02871201748497749,0.018907252569195936,0.028256973779463512,0.021670627290773365,
2026-03-29 02:07:14,configs/exp2_XGB_method3.yaml,exp2_XGB_method3,exp_032_exp2_XGB_method3,xgboost,method0,success,0,0.8675910364145658,0.9091881288322348,0.9317602796595719,0.8891369047619048,0.03285651003185121,0.02325665774592856,0.028512407596163802,0.039085916702563325,
